Tweet,Annotation
"#EUA Não tenho simpatia pelo #Trump. Porém, mesmo se fosse um bom candidato na reta final da campanha a imprensa seria parcial pró #Hillary",?
And now Roger Ailes works with #Trump.,?
"Why was 1979 discrimination suit titled, ""US v. Fred C. Trump, Donald #Trump and Trump Mgmt, Inc."" if filed against ""many, many landlords""?",?
Even cheating the Hillary & the Corrupt Media couldn't derail the #trump train. NBC and Lester Holt better be Persona non grata in Trump WH,P
Yes. #Trump had the real answer.,P
So #PepeTheFrog is deemed a hate symbol. Which means the first #Trump supporters with those t-shirts should show up right NOW! 😏,N
"Former Miss Universe: ""#Trump was aggressive, rude"":",N
Do you want to know why Trump won't win his own home town? Because we all know he's a racist windbag con man. #Trump,N
"Ex-#Russian foreign minister Kozyrev: #Trump’s autocratic ways make me panicky.  You should be panicky, you're pathetic whining schmuck..",P
We just might have a real #climate debate in this #election. That’s bad news for #Trump: @washingtonpost,?
@pmeillie il se pense le roi du monde!!! il a un grain ce type!!! aussi pire que #Trump,?
#Trump the type of dude to give you the homework problems instead of just giving you the answers.,P
.@cnsnews .@hotairblog .@conserv_tribune Beyond conspiracy: Video proof HRC signaled to Holt. #RiggedDebate #Trump,P
"I believe #Trump would be wearing my disposable underwear with my Trademark logo ""Threat To Homeland Security"" before doing coke-plz Dean!",?
"Donald Trump says Russia isn't to blame for MH17, despite evidence [Whose side is #Trump really on?] @CNNPolitics",N
#MAGA #TrumpPence16 #TrumpTrain #Trump,P
"I'm a Republican, and I can't stand #Trump ! - Steven Kuykendall @CERIUdeM #etatsunis2016",N
Po-Trumpkin Village? @frontlinepbs interviews show why some believe #Trump real-estate empire is a facade...1/2,N
@RichardRubinDC Sec. 1031 exchanges are highly unlikely reason for #Trump's low/no fed income tax rate. Do u have any examples? @drshow,N
Estas son las 28 veces en que #Trump interrumpió a #Hillary durante el: #Debate #debatenight   Via @wendy_capellan,?
First US presidential debate between #Clinton and #Trump breaks records online and on TV,?
the common thread is that #Trump screws people over to benefit himself.,N
#Taliban leaders blast #Trump and Hillary #Clinton as unserious for not mentioning #Afghanistan  in monday's debate #USdecides,?
First 30 minutes were strong for #trump? Not so as he is wrong about #NAFTA #USElection2016 #PresidentialDebate,N
There is no way that he can play the piano with those tiny fucking hands #trump #trumpfact,N
#Trump uses every angle to take advantage of not paying taxes and people who work for him #wearenotbuyingitanymore,N
The World has this belief of #White People being #Evil and Racist. By voting for #Trump they're reinforcing The believe,N
#debatenight not one question about #hillary comments about deplorables or Paula Jones or mistresses she called #Liars #Trump treated w/bias,P
"For Mr. #Trump fans, this is feature, not bug:",?
"Seriously, #Trump supporters is this who YOU trust 2 be in highest office in US? Not my hard earned $$ #NeverTrump #LoserTrump @maddow",N
@KagroX @Paidsubscriber #Trump successful businessman?.. Could u give us just 1 example?  We need Tax Returns 4 PROOF,N
"Sad that ppl willing to accept #corrupt politicians (#Obama, #Hillary, etc) as our leaders, but loath someone (#Trump) forthright & driven.",P
#neverHillary #TrumpPence16 #MAGA #TRUMP #TrumpWon #Debates2016,P
#Clinton #Trump #SJW #debates,?
@donsknots @tonystocktrader @CharlesLaramie @CNN -- GWB <=> Obama/Hillary (#Trump exposed it)!!! That's the point! Wake up!!! #Trump !!!,P
#dr_hannitystein created this monster now he fears the backlash. #trump #nevertrump #dumptrump,N
"#Trump supports ""some sort of PUNISHMENT"" for women who have abortions.",?
"@GovHowardDean Besides, #Trump provides such a target-rich environment: lies, taxes, Iraq, racism, sexism, foundation scandals, birther, etc",N
Trump: 'We Have Raised over $13M' in the Last 24 Hours  #13million  #trump  #crownfinancialpartners,?
"Wow. Self-funding. With his OWN $$. #Catholics, overall, won't vote for #Trump.",N
@voanoticias #BillClinton violó a más de 20 Mujeres y la noticia es q #Trump hace 20 años llamó gorda a Alicia Machado q folló en Reality!,?
How #Trump Can Beat #Hillary,?
A Sentimental Analysis of the First Debate Using Twitter #datascience #Trump #HillaryClinton,?
Why? He's displaying all the signs. Dr. Dean is right. #Trump should take a drug test.,N
"@craigmelvin, @hughhewitt doesn't want #Trump to keep answering for birtherism. But @HillaryClinton shld have to keep answering about emails",?
.@FoxNews did we watch the same debate? #Trump kept fact checkers busy.,N
#ICE catches #Trump in lie. Threaten to deport #Melania. #Ivanka pleased. @thedailybeast,N
My friend Putin says The Cheeto Jesus is actually a braggadocious glowing hyena #trump #Election2016 #TheRally,N
@KinnBigg @tariqnasheed Comparing #Trump who has a sordid past with blacks with someone who at least acknowledges that racism exists.,N
@mrsmariemac @HuntsmanAbby @nytimes That's problem with #Trump and his followers they don't believe anything but their own nonsense.,N
"Many now see: The GOP Billionaire Mogul Medial Empire not adhering to any values, outside horrid and bias self-interests ! #Trump",N
"#Trump is the alternative candidate of the decade. Because things can never never go worse, believe me. #Trump2016",?
Spineless quivering morons. At least the Dems embrace thuggery. #Trump pulled back the curtain and exposed them all as nothing of value.,P
Christians supporting #Trump attacking #HillaryClinton for Bill's adultery may be the most hypocritical act in the history of hypocrisy.,?
#WednesdayWisdom #comedy #Trump #Hillary #MH17 #SDLive #UFC205 #ShimonPeres #yeg,?
Jesus @kayleighmcenany is one sorry ass pathetic troglodyte. #trump,?
Believe that #Clinton & or her aides will be going to jail under a #Trump administration. It would be a biblical indictment. @SheriffClarke,P
"@desertrat0073 @Chesam57 @CronkiteSays 35k showed up for #Trump in Melbourne, Florida yesterday...yeah #HRC is up in the polls alright😝",P
"Now that the most nauseating story imaginable is out of my system, I have no doubt the woman of America are looking at #Trump & saying WTF?!",N
@NBCNews Complicit MSM trying 2 sell narrative so Dems can cheat at the polls but #Trump will win by a landslide,P
NBC news reported Trump was a bully and has a lot of ground to make up before next debate? Do they think we did not watch? #TrumpStrong,P
#FBI dir testifies on #clintonprobe more being exposed clinton remembers a lot about #Trump but forgets or doesn't recall anything else,P
Why is Hilary's lying with a polished presentation somehow considered a winning debate strategy. #CrookedHiliary #Trump,P
"Interesting, altho I don't totally agree: ""Rise of the #Trump #Academic"" by @lizmorrish ||",?
"James Comey's Clinton Immunity""  Comet needs to be fired a total house cleaning it has become political NO Justice #Trump",P
@NBCPolitics @NBCNews Your #Trump smear campaign is failing. We are not allowing the media to pick our President again. #OnlyTrump,P
Teachers of the emotionally disturbed for #Trump,P
"@Tweet_Invader7 @Kotcha301 Y, EXACTLY my point - it was so obviously biased that undecided #voters mad & pick #trump, #hillary = career liar",P
"@brianbeutler Clinton to Bush even after 2000 debacle was fine, Obama/Trump not hard. #Trump losing is problem, bc of lunatic rigging claims",P
#Trump helps hit job book about him become best-seller | #NewYork ...,?
"Trading Taunts: #Trump, #Clinton Launch New Attacks on the Heels of ...",?
We could go without a president for a bit. What if we all just decide to be real cool for 4 years? #Trump #Hillary,N
#TrumpWon @msnbc @FoxNews,P
People say #trump supporters are crazy,P
Post-#Debate #Trump fights media narrative as he tries digging out of a ...,N
#Trump #Trump2016 #MAGA #TrumpPence #AmericaFirst,P
Spoiler: Because they are ignorant  and/or hypocrites. #Trump,P
"Meet Celina Midelfart, #Trump's Alleged Ex -- The Cut",?
"Blue-collar billionaire believes that picking at the carcass of the 2008 economy is simply ""good business,by the way."" #trump",N
DollarVigilante: Fascist #Trump Versus Communist #Killary Battle on a Sinking Ship #Clinton …,N
Overheard conversation where person said #Trump really scares me. Really!!  and #SickHillary #LyingHillary #CrookedHillary don't? #MSM lies,P
#HillaryForPresident #trump #hillaryw,N
"#Clinton, #Trump trade taunts after testy #Debate | #FoxNews",?
@LesterHoltNBC and @NBC caught violating election commission rules. He's got an earpiece. @realDonaldTrump #Trump,P
